id,months,gender,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
1,0,0,0.3809,3.2322,0.14171,2,2.4,2.8,3.2,3.7,4.2,4.8
2,1,0,0.1714,4.1873,0.13724,2.7,3.2,3.6,4.2,4.8,5.5,6.2
3,2,0,0.0962,5.1282,0.13,3.4,3.9,4.5,5.1,5.8,6.6,7.5
4,3,0,0.0402,5.8458,0.12619,4,4.5,5.2,5.8,6.6,7.5,8.5
5,4,0,-0.005,6.4237,0.12402,4.4,5,5.7,6.4,7.3,8.2,9.3
6,5,0,-0.043,6.8985,0.12274,4.8,5.4,6.1,6.9,7.8,8.8,10
7,6,0,-0.0756,7.297,0.12204,5.1,5.7,6.5,7.3,8.2,9.3,10.6
8,7,0,-0.1039,7.6422,0.12178,5.3,6,6.8,7.6,8.6,9.8,11.1
9,8,0,-0.1288,7.9487,0.12181,5.6,6.3,7,7.9,9,10.2,11.6
10,9,0,-0.1507,8.2254,0.12199,5.8,6.5,7.3,8.2,9.3,10.5,12
11,10,0,-0.17,8.48,0.12223,5.9,6.7,7.5,8.5,9.6,10.9,12.4
12,11,0,-0.1872,8.7192,0.12247,6.1,6.9,7.7,8.7,9.9,11.2,12.8
13,12,0,-0.2024,8.9481,0.12268,6.3,7,7.9,8.9,10.1,11.5,13.1
14,13,0,-0.2158,9.1699,0.12283,6.4,7.2,8.1,9.2,10.4,11.8,13.5
15,14,0,-0.2278,9.387,0.12294,6.6,7.4,8.3,9.4,10.6,12.1,13.8
16,15,0,-0.2384,9.6008,0.12299,6.7,7.6,8.5,9.6,10.9,12.4,14.1
17,16,0,-0.2478,9.8124,0.12303,6.9,7.7,8.7,9.8,11.1,12.6,14.5
